symbol,date,open,high,low,close,volume,sources
ETH,2025-07-17,3372.3033614226997,3526.44,3312.55,3478.1321988325,25065139634.364998,2
ETH,2025-07-18,3477.80196086215,3676.78,3462.02,3549.2881223140503,31153180897.335,2
ETH,2025-07-19,3548.9259966784,3669.85,2942.21,3594.34,26031719745.61,3
ETH,2025-07-20,3594.79024428695,3825.1,3581.09,3759.0557208944,23202223827.805,2
ETH,2025-07-21,3758.78028842,3859.77,3703.91,3763.8156263499004,22423665921.67,2
ETH,2025-07-22,3763.5710499359,3800.87,3618.98,3748.8927180158,23799740233.45,2
ETH,2025-07-23,3748.64,3848.92,3523.94,3630.21,41283228952.7,3
ETH,2025-07-24,3629.97078602645,3775.3,3510.45,3708.3828527412,21349491972.75,2
ETH,2025-07-25,3708.3828527412,3750.35,3575.42,3726.6384471580504,22316248325.64,2
ETH,2025-07-26,3726.6236222690504,3794.86,3700.41,3742.0930518339,12710454088.400002,2
ETH,2025-07-27,3742.79,3880.83,3530.3,3874.12,25352434514.72998,3
ETH,2025-07-28,3874.6878949401,3941.6,3754.34,3793.18784883245,18904661919.815,2
ETH,2025-07-29,3793.63473632555,3885.97,3716.15,3793.4574623426497,18669923813.12,2
ETH,2025-07-30,3793.5212842613,3833.7,3677.33,3809.2458391783002,17984550063.155,2
ETH,2025-07-31,3808.2460282944,3936.94,3684.07,3698.19,28710848449.745983,3
ETH,2025-08-01,3697.16718866925,3723.77,3430.49,3487.69296576795,24332158322.644997,2
ETH,2025-08-02,3487.4883500637998,3536.9,3368.07,3393.07063519985,15831275157.295,2
ETH,2025-08-03,3393.0721762051,3522.08,3356.18,3497.48955354025,10102861180.715,2
ETH,2025-08-04,3497.6129223344,3874.37,3373.55,3718.9860330916,18338718249.174084,3
ETH,2025-08-05,3720.3739033208,3721.28,3546.78,3611.8546517925497,17177859586.355,2
ETH,2025-08-06,3611.9243985459498,3699.86,3564.36,3684.01531369375,14124391676.07,2
ETH,2025-08-07,3684.08599268515,3928.73,3648.86,3912.997968506,20290307936.665,2
ETH,2025-08-08,3911.67,4071.18,3495.1,4009.8489940375,31981627910.70641,3
ETH,2025-08-09,4009.84533648855,4326.47,4007.66,4263.25946733795,23720721369.894997,2
ETH,2025-08-10,4263.236251782349,4333.21,4161.61,4253.2237983372,18933237085.595,2
ETH,2025-08-11,4253.230674132899,4363.0,4166.28,4225.9585126007005,26541040150.66,2
ETH,2025-08-12,4224.95,4637.79,3884.64,4589.8,43010572110.88258,3
ETH,2025-08-13,4590.2287589848,4786.25,4563.84,4754.0629378611,33381120251.905003,2
ETH,2025-08-14,4753.9466741137,4792.0,4458.11,4549.3683130363,40214690504.015,2
ETH,2025-08-15,4549.822748923099,4670.98,4370.37,4441.55431656165,29390852521.67,2
ETH,2025-08-16,4439.9981821384,4779.0,4226.51,4426.1803113344,26816931513.69,3
ETH,2025-08-17,4425.73995809635,4577.87,4398.69,4474.3657779880505,16403458605.56,2
